Monster		Members	Combat level	Hitpoints	Attack level	Defence level	Magic level	Ranged level	Stab defence	Slash defence	Crush defence	Magic defence	Light Ranged defence	Standard Ranged defence	Heavy Ranged defence
Karamel - Hard	Karamel Hard	Members	186	255	1	100	1	200	150	150	150	150	150	150	150
Shaeded Beast	Shaeded Beast	Members	186	210	50	50	250	1	50	30	100	150	50	50	50
Nezikchened - Normal	Nezikchened Normal	Members	187	150	165	167	160	160	0	0	0	0	0	0	0
Black demon - Level 188	Black demon Level 188	Members	188	200	145	152	1	1	0	0	0	-10	0	0	0
King Roald - In combat (hard)	King Roald In combat (hard)	Members	188	150	140	30	1	1	0	0	0	0	0	0	0
Iron dragon - Normal	Iron dragon Normal	Members	189	165	165	165	100	1	20	70	70	30	90	90	65
Barrelchest - Normal	Barrelchest Normal	Members	190	134	170	140	90	1	0	0	0	0	0	0	0
Giant Scarab - Normal	Giant Scarab Normal	Members	191	130	169	169	1	190	70	99	99	159	149	149	149
Khazard warlord - Hard	Khazard warlord Hard	Members	192	255	165	80	1	1	0	0	0	0	0	0	0
Drake	Drake	Members	192	250	140	120	112	140	20	60	60	20	100	100	40
Minotaur (Meat and Greet)	Minotaur (Meat and Greet)	Members	193	240	140	100	100	0	30	20	50	80	140	140	140
Skeleton Hellhound (Vet'ion)	Skeleton Hellhound (Vet'ion)	Members	194	30	210	150	1	1	101	103	10	180	266	266	266
Hydra	Hydra	Members	194	300	1	100	210	210	160	160	160	160	0	0	0
Treus Dayth - In combat (hard)	Treus Dayth In combat (hard)	Members	194	240	168	100	1	1	5	5	5	-5	5	5	5
Jungle Demon - Normal	Jungle Demon Normal	Members	195	170	170	170	170	1	0	50	0	50	0	0	0
Jungle Demon - Quest	Jungle Demon Quest	Members	195	170	170	170	170	1	0	50	0	50	0	0	0
Agrith Naar - Hard	Agrith Naar Hard	Members	196	209	182	82	220	220	0	0	0	0	0	0	0
Strangled Bear	Strangled Bear	Members	197	100	190	40	60	0	30	20	30	10			
Mother	Mother	Members	198	235	150	170	60	105	0	0	0	200	0	0	0
Skeleton Hellhound - Hard	Skeleton Hellhound Hard	Members	198	132	168	100	1	1	0	0	0	0	0	0	0
Tanglefoot - Hard	Tanglefoot Hard	Members	199	204	194	91	1	1	0	0	0	0	0	0	0
Tree spirit (Lost City) - Hard	Tree spirit (Lost City) Hard	Members	199	187	200	80	1	1	0	0	0	0	0	0	0
Greater Nechryael - Regular	Greater Nechryael Regular	Members	200	205	197	85	1	1	50	50	50	0	50	50	50
Greater Nechryael - Wilderness Slayer Cave	Greater Nechryael Wilderness Slayer Cave	Members	200	205	197	85	1	1	50	50	50	0	50	50	50
Damis - First form (hard)	Damis First form (hard)	Members	200	198	198	90	1	1	60	60	60	60	60	60	60
Scurrius - Solo	Scurrius Solo	Members	200	500	300	60	50	50	20	20	20	10	20	20	20
Me - NMZ (hard)	Me NMZ (hard)	Members	201	135	225	74	1	1	0	0	0	0	0	0	0
Gelatinnoth Mother - Hard	Gelatinnoth Mother Hard	Members	201	240	186	81	1	120	150	150	150	50	50	50	50
Dad - Hard	Dad Hard	Members	201	240	132	50	0	0	25	25	40	200	200	200	200
Dagannoth mother - Hard	Dagannoth mother Hard	Members	201	240	186	81	1	120	150	150	150	50	50	50	50
Slagilith - Hard	Slagilith Hard	Members	202	150	150	75	1	1	50	50	5	5	50	50	50
Insatiable Bloodveld	Insatiable Bloodveld	Members	202	290	190	85	1	1	0	0	0	0	0	0	0
Chaos Fanatic	Chaos Fanatic	Members	202	225	1	220	200	1	260	260	250	280	80	80	80
Crazy archaeologist	Crazy archaeologist	Members	204	225	160	240	1	180	5	5	30	250	250	250	250
Damien Leucurte	Damien Leucurte	Members	204	217	0	160	160	160	30	30	30	30	30	30	30
Basilisk Knight	Basilisk Knight	Members	204	300	186	186	186	1	30	30	-15	30	20	20	-15
Cave abomination	Cave abomination	Members	206	130	230	142	230	1	0	0	0	0	0	0	0
Vitreous Jelly	Vitreous Jelly	Members	206	190	170	220	150	1	0	0	0	0	0	0	0
Kruk	Kruk	Members	207	210	130	150	130	170	100	100	100	250	100	100	100
Culinaromancer - Hard	Culinaromancer Hard	Members	209	255	40	10	1	1	-10	-10	-10	-10	-10	-10	-10
Penance Queen	Penance Queen	Members	209	250	260	132	1	116	0	0	0	0	0	0	0
Black Knight Titan - Hard	Black Knight Titan Hard	Members	210	255	182	91	1	1	18	27	18	1000	1000	1000	1000
The Kendal - Hard	The Kendal Hard	Members	210	150	195	60	0	0	10	10	10	-10	20	20	20
Arrg - Hard	Arrg Hard	Members	210	255	140	40	0	140	35	60	35	200	200	200	200
Ancient Wyvern	Ancient Wyvern	Members	210	300	150	150	90	90	70	70	70	170	120	120	120
Arianwyn - In combat	Arianwyn In combat	Members	212	300	0	102	102	368	80	80	80	260	180	180	180
Ice Troll King (Nightmare Zone) - Hard	Ice Troll King (Nightmare Zone) Hard	Members	213	240	200	80	1	1	45	45	45	2000	2000	2000	2000
Elvarg - Hard	Elvarg Hard	Members	214	240	210	70	210	1	20	40	40	30	20	20	20
Chaotic death spawn - Melee	Chaotic death spawn Melee	Members	215	50	380	70	380	380	0	0	0	0	0	0	0
Chaotic death spawn - Ranged	Chaotic death spawn Ranged	Members	215	50	380	70	380	380	0	0	0	0	0	0	0
Iron dragon - Catacombs of Kourend	Iron dragon Catacombs of Kourend	Members	215	195	185	185	120	1	20	70	70	30	90	90	65
Chaotic death spawn - Magic	Chaotic death spawn Magic	Members	215	50	380	70	380	380	0	0	0	0	0	0	0
Dessourt - Hard	Dessourt Hard	Members	217	255	198	99	1	1	10	150	150	0	0	0	0
Dessous - Hard	Dessous Hard	Members	217	255	198	99	1	1	10	150	150	0	0	0	0
Typhor	Typhor	Members	218	360	186	186	186	1	30	30	0	30	0	0	0
TzHaar-Ket - Level 221	TzHaar-Ket Level 221	Members	221	200	200	190	40	1	0	0	0	0	0	0	0
Kasonde the Craven	Kasonde the Craven	Members	221	200	200	120	120	200	30	30	30	250	50	50	50
The Everlasting - Normal	The Everlasting Normal	Members	223	230	187	120	1	1	0	0	0	0	0	0	0
Robert the Strong	Robert the Strong	Members	224	280	0	140	128	328	140	180	60	940	860	860	860
Scorpia	Scorpia	Members	225	200	250	180	1	1	246	284	284	44	284	284	284
Black dragon - Level 227	Black dragon Level 227	Members	227	190	200	200	100	1	10	70	70	60	50	50	15
Brutal green dragon	Brutal green dragon	Members	227	175	268	168	168	0	10	70	70	60	50	50	15
Dawn	Dawn	Members	228	450	140	100	100	140	0	0	0	80	0	0	0
Giant Mole	Giant Mole	Members	230	200	200	200	200	1	60	80	100	80	60	60	60
Giant Mole (PvM Arena)	Giant Mole (PvM Arena)	Members	230	200	200	200	200	1	60	80	100	80	60	60	60
Kasonde	Kasonde	Members	231	240	190	90	90	190	30	30	30	250	50	50	50
Greater Skeleton Hellhound (Vet'ion)	Greater Skeleton Hellhound (Vet'ion)	Members	231	30	228	180	1	1	150	163	20	210	275	275	275
Ranis Drakan - A Taste of Hope	Ranis Drakan A Taste of Hope	Members	233	400	120	120	120	1	60	60	60	60	60	60	60
Headless Beast - Hard	Headless Beast Hard	Members	233	320	200	42	42	1	18	18	18	6	52	52	52
Ranis Drakan - A Taste of Hope (1/4th health)	Ranis Drakan A Taste of Hope (1/4th health)	Members	233	400	120	120	120	1	60	60	60	60	60	60	60
Jaguar warrior	Jaguar warrior	Members	234	125	200	125	100	160	30	30	30	15	45	45	45
Porazdir	Porazdir	Members	235	320	250	100	180	1	200	200	200	-60	200	200	200
Agrith-Na-Na - Hard	Agrith-Na-Na Hard	Members	235	255	166	82	200	200	100	100	100	100	100	100	100
Derwen	Derwen	Members	235	320	250	100	80	1	200	200	200	-60	200	200	200
Essyllt - Normal	Essyllt Normal	Members	236	320	268	104	104	342	40	40	20	30	120	120	120
Ketla the Unworthy - Shadow Clone	Ketla the Unworthy Shadow Clone	Members	236	1	0	130	130	160	60	30	80	200	70	70	70
Ketla the Unworthy - Regular	Ketla the Unworthy Regular	Members	236	200	0	130	130	160	60	30	80	200	70	70	70
Flambeed - Hard	Flambeed Hard	Members	238	255	240	75	1	1	50	50	5	5	50	50	50
Shockwave Colossus	Shockwave Colossus	Members	239	125	120	150	350	220	15	15	15	5	35	35	35
Xamphur	Xamphur	Members	239	450	0	100	140	0	180	180	180	260	30	30	30
Jal-ImKot	Jal-ImKot	Members	240	75	210	120	120	220	65	65	65	30	50	50	50
Vitreous warped Jelly	Vitreous warped Jelly	Members	241	220	200	250	180	1	0	0	0	0	0	0	0
Bouncer - Hard	Bouncer Hard	Members	244	232	240	120	1	1	0	0	0	0	0	0	0
Spiked Turoth	Spiked Turoth	Members	244	195	204	154	1	1	0	40	40	0	0	0	0
Steel dragon - Level 246 (Task only)	Steel dragon Level 246 (Task only)	Members	246	210	215	215	100	1	20	70	70	30	90	90	65
Steel dragon (Construction)	Steel dragon (Construction)	Members	246	210	215	215	100	1	20	70	70	30	90	90	65
Steel dragon - Level 246	Steel dragon Level 246	Members	246	210	215	215	100	1	20	70	70	30	90	90	65
Black dragon - Level 247	Black dragon Level 247	Members	247	250	200	200	150	1	10	70	70	60	50	50	15
Mutated Tortoise	Mutated Tortoise	Members	247	440	130	120	90	0	50	50	0	0	60	60	60
Dusk - First form	Dusk First form	Members	248	450	200	100	140	140	0	0	0	0	0	0	0
Jal-MejJak	Jal-MejJak	Members	250	75	1	100	1	1	0	0	0	0	0	0	0
Scurrius - Group	Scurrius Group	Members	250	1500	300	100	100	100	20	20	20	10	20	20	20
Me - NMZ (hard)	Me NMZ (hard)	Members	201	135	225	74	1	1	0	0	0	0	0	0	0
Gelatinnoth Mother - Hard	Gelatinnoth Mother Hard	Members	201	240	186	81	1	120	150	150	150	50	50	50	50
Dad - Hard	Dad Hard	Members	201	240	132	50	0	0	25	25	40	200	200	200	200
Dagannoth mother - Hard	Dagannoth mother Hard	Members	201	240	186	81	1	120	150	150	150	50	50	50	50
Slagilith - Hard	Slagilith Hard	Members	202	150	150	75	1	1	50	50	5	5	50	50	50
Insatiable Bloodveld	Insatiable Bloodveld	Members	202	290	190	85	1	1	0	0	0	0	0	0	0
Chaos Fanatic	Chaos Fanatic	Members	202	225	1	220	200	1	260	260	250	280	80	80	80
Crazy archaeologist	Crazy archaeologist	Members	204	225	160	240	1	180	5	5	30	250	250	250	250
Damien Leucurte	Damien Leucurte	Members	204	217	0	160	160	160	30	30	30	30	30	30	30
Basilisk Knight	Basilisk Knight	Members	204	300	186	186	186	1	30	30	-15	30	20	20	-15
Cave abomination	Cave abomination	Members	206	130	230	142	230	1	0	0	0	0	0	0	0
Vitreous Jelly	Vitreous Jelly	Members	206	190	170	220	150	1	0	0	0	0	0	0	0
Kruk	Kruk	Members	207	210	130	150	130	170	100	100	100	250	100	100	100
Culinaromancer - Hard	Culinaromancer Hard	Members	209	255	40	10	1	1	-10	-10	-10	-10	-10	-10	-10
Penance Queen	Penance Queen	Members	209	250	260	132	1	116	0	0	0	0	0	0	0
Black Knight Titan - Hard	Black Knight Titan Hard	Members	210	255	182	91	1	1	18	27	18	1000	1000	1000	1000
The Kendal - Hard	The Kendal Hard	Members	210	150	195	60	0	0	10	10	10	-10	20	20	20
Arrg - Hard	Arrg Hard	Members	210	255	140	40	0	140	35	60	35	200	200	200	200
Ancient Wyvern	Ancient Wyvern	Members	210	300	150	150	90	90	70	70	70	170	120	120	120
Arianwyn - In combat	Arianwyn In combat	Members	212	300	0	102	102	368	80	80	80	260	180	180	180
Ice Troll King (Nightmare Zone) - Hard	Ice Troll King (Nightmare Zone) Hard	Members	213	240	200	80	1	1	45	45	45	2000	2000	2000	2000
Elvarg - Hard	Elvarg Hard	Members	214	240	210	70	210	1	20	40	40	30	20	20	20
Chaotic death spawn - Melee	Chaotic death spawn Melee	Members	215	50	380	70	380	380	0	0	0	0	0	0	0
Chaotic death spawn - Ranged	Chaotic death spawn Ranged	Members	215	50	380	70	380	380	0	0	0	0	0	0	0
Iron dragon - Catacombs of Kourend	Iron dragon Catacombs of Kourend	Members	215	195	185	185	120	1	20	70	70	30	90	90	65
Chaotic death spawn - Magic	Chaotic death spawn Magic	Members	215	50	380	70	380	380	0	0	0	0	0	0	0
Dessourt - Hard	Dessourt Hard	Members	217	255	198	99	1	1	10	150	150	0	0	0	0
Dessous - Hard	Dessous Hard	Members	217	255	198	99	1	1	10	150	150	0	0	0	0
Typhor	Typhor	Members	218	360	186	186	186	1	30	30	0	30	0	0	0
TzHaar-Ket - Level 221	TzHaar-Ket Level 221	Members	221	200	200	190	40	1	0	0	0	0	0	0	0
Kasonde the Craven	Kasonde the Craven	Members	221	200	200	120	120	200	30	30	30	250	50	50	50
The Everlasting - Normal	The Everlasting Normal	Members	223	230	187	120	1	1	0	0	0	0	0	0	0
Robert the Strong	Robert the Strong	Members	224	280	0	140	128	328	140	180	60	940	860	860	860
Scorpia	Scorpia	Members	225	200	250	180	1	1	246	284	284	44	284	284	284
Black dragon - Level 227	Black dragon Level 227	Members	227	190	200	200	100	1	10	70	70	60	50	50	15
Brutal green dragon	Brutal green dragon	Members	227	175	268	168	168	0	10	70	70	60	50	50	15
Dawn	Dawn	Members	228	450	140	100	100	140	0	0	0	80	0	0	0
Giant Mole	Giant Mole	Members	230	200	200	200	200	1	60	80	100	80	60	60	60
Giant Mole (PvM Arena)	Giant Mole (PvM Arena)	Members	230	200	200	200	200	1	60	80	100	80	60	60	60
Kasonde	Kasonde	Members	231	240	190	90	90	190	30	30	30	250	50	50	50
Greater Skeleton Hellhound (Vet'ion)	Greater Skeleton Hellhound (Vet'ion)	Members	231	30	228	180	1	1	150	163	20	210	275	275	275
Ranis Drakan - A Taste of Hope	Ranis Drakan A Taste of Hope	Members	233	400	120	120	120	1	60	60	60	60	60	60	60
Headless Beast - Hard	Headless Beast Hard	Members	233	320	200	42	42	1	18	18	18	6	52	52	52
Ranis Drakan - A Taste of Hope (1/4th health)	Ranis Drakan A Taste of Hope (1/4th health)	Members	233	400	120	120	120	1	60	60	60	60	60	60	60
Jaguar warrior	Jaguar warrior	Members	234	125	200	125	100	160	30	30	30	15	45	45	45
Porazdir	Porazdir	Members	235	320	250	100	180	1	200	200	200	-60	200	200	200
Agrith-Na-Na - Hard	Agrith-Na-Na Hard	Members	235	255	166	82	200	200	100	100	100	100	100	100	100
Derwen	Derwen	Members	235	320	250	100	80	1	200	200	200	-60	200	200	200
Essyllt - Normal	Essyllt Normal	Members	236	320	268	104	104	342	40	40	20	30	120	120	120
Ketla the Unworthy - Shadow Clone	Ketla the Unworthy Shadow Clone	Members	236	1	0	130	130	160	60	30	80	200	70	70	70
Ketla the Unworthy - Regular	Ketla the Unworthy Regular	Members	236	200	0	130	130	160	60	30	80	200	70	70	70
Flambeed - Hard	Flambeed Hard	Members	238	255	240	75	1	1	50	50	5	5	50	50	50
Shockwave Colossus	Shockwave Colossus	Members	239	125	120	150	350	220	15	15	15	5	35	35	35
Xamphur	Xamphur	Members	239	450	0	100	140	0	180	180	180	260	30	30	30
Jal-ImKot	Jal-ImKot	Members	240	75	210	120	120	220	65	65	65	30	50	50	50
Vitreous warped Jelly	Vitreous warped Jelly	Members	241	220	200	250	180	1	0	0	0	0	0	0	0
Bouncer - Hard	Bouncer Hard	Members	244	232	240	120	1	1	0	0	0	0	0	0	0
Spiked Turoth	Spiked Turoth	Members	244	195	204	154	1	1	0	40	40	0	0	0	0
Steel dragon - Level 246 (Task only)	Steel dragon Level 246 (Task only)	Members	246	210	215	215	100	1	20	70	70	30	90	90	65
Steel dragon (Construction)	Steel dragon (Construction)	Members	246	210	215	215	100	1	20	70	70	30	90	90	65
Steel dragon - Level 246	Steel dragon Level 246	Members	246	210	215	215	100	1	20	70	70	30	90	90	65
Black dragon - Level 247	Black dragon Level 247	Members	247	250	200	200	150	1	10	70	70	60	50	50	15
Mutated Tortoise	Mutated Tortoise	Members	247	440	130	120	90	0	50	50	0	0	60	60	60
Dusk - First form	Dusk First form	Members	248	450	200	100	140	140	0	0	0	0	0	0	0
Jal-MejJak	Jal-MejJak	Members	250	75	1	100	1	1	0	0	0	0	0	0	0
Scurrius - Group	Scurrius Group	Members	250	1500	300	100	100	100	20	20	20	10	20	20	20
Thermonuclear smoke devil	Thermonuclear smoke devil	Members	301	240	230	360	1	310	11	4	9	800	900	900	900
Nylocas Vasilias - Entry	Nylocas Vasilias Entry	Members	301	1440	160	50	20	140	0	0	0	0	0	0	0
Hespori (A Night at the Theatre)	Hespori (A Night at the Theatre)	Members	302	360	1	120	126	150	60	20	60	80	80	80	80
Spindel	Spindel	Members	302	515	200	225	235	286	70	70	10	205	103	103	103
Dagannoth Supreme	Dagannoth Supreme	Members	303	255	255	128	255	255	10	10	10	255	550	550	550
Dagannoth Prime (PvM Arena)	Dagannoth Prime (PvM Arena)	Members	303	255	255	255	255	0	255	255	255	255	10	10	10
Dagannoth Supreme (PvM Arena)	Dagannoth Supreme (PvM Arena)	Members	303	255	255	128	255	255	10	10	10	255	550	550	550
Dagannoth Rex	Dagannoth Rex	Members	303	255	255	255	0	255	255	255	255	10	255	255	255
Dagannoth Prime	Dagannoth Prime	Members	303	255	255	255	255	0	255	255	255	255	10	10	10
Dagannoth Rex (PvM Arena)	Dagannoth Rex (PvM Arena)	Members	303	255	255	255	0	255	255	255	255	10	255	255	255
Mithril dragon	Mithril dragon	Members	304	254	268	268	168	168	20	100	70	30	90	90	65
Chaos Elemental	Chaos Elemental	Members	305	250	270	270	270	270	70	70	70	70	70	70	70
Chaos Elemental (PvM Arena)	Chaos Elemental (PvM Arena)	Members	305	250	270	270	270	270	70	70	70	70	70	70	70
Colossal Hydra	Colossal Hydra	Members	309	750	1	100	250	250	100	200	200	200	20	20	20
Pestilent Bloat - Entry	Pestilent Bloat Entry	Members	312	1280	100	80	120	72	10	5	10	600	800	800	800
Thermonuclear smoke devil (Deadman)	Thermonuclear smoke devil (Deadman)	Members	313	500	230	150	1	310	30	12	20	200	300	300	300
Giant Scarab - Hard	Giant Scarab Hard	Members	316	255	305	169	1	342	70	99	99	159	149	149	149
Brutal black dragon	Brutal black dragon	Members	318	315	330	258	250	0	10	70	70	60	50	50	15
Cerberus	Cerberus	Members	318	600	220	100	220	220	50	100	25	100	100	100	100
Minotaur (Fortis Colosseum) - 2	Minotaur (Fortis Colosseum) 2	Members	318	225	300	190	250	120	0	0	0	0	12	12	12
Minotaur (Fortis Colosseum) - 1	Minotaur (Fortis Colosseum) 1	Members	318	225	300	190	250	120	0	0	0	0	12	12	12
Sarachnis	Sarachnis	Members	318	400	200	150	150	300	60	40	10	150	300	300	300
Manticore	Manticore	Members	320	250	300	250	300	350	0	0	0	10	25	25	25
Artio	Artio	Members	320	450	250	150	90	120	125	110	110	0	40	40	40
Skotizo	Skotizo	Members	321	450	240	200	280	1	80	80	80	130	130	130	130
The Maiden of Sugadinti - Entry Mode	The Maiden of Sugadinti Entry Mode	Members	324	2000	140	80	140	140	0	0	0	0	0	0	0
Jungle Demon - Hard	Jungle Demon Hard	Members	327	255	340	170	340	1	0	50	0	50	0	0	0
Dusk - Second form	Dusk Second form	Members	328	450	300	150	250	250	0	0	0	0	0	0	0
Eclipse Moon - Regular	Eclipse Moon Regular	Members	329	500	258	60	100	1	0	100	100	500	500	500	500
Blue Moon	Blue Moon	Members	329	500	258	60	100	1	100	100	0	500	500	500	500
Eclipse Moon - Clone	Eclipse Moon Clone	Members	329	500	258	60	100	1	0	100	100	500	500	500	500
Blood Moon	Blood Moon	Members	329	500	258	60	100	1	100	0	100	500	500	500	500
Xarpus - Entry mode	Xarpus Entry mode	Members	331	3400	1	100	80	50	0	0	0	0	100	100	100
Kalphite Queen - Crawling	Kalphite Queen Crawling	Members	333	255	300	300	150	1	50	50	10	100	100	100	100
Kalphite Queen (PvM Arena) - Crawling	Kalphite Queen (PvM Arena) Crawling	Members	333	255	300	300	150	1	50	50	10	100	100	100	100
Kalphite Queen (PvM Arena) - Airborne	Kalphite Queen (PvM Arena) Airborne	Members	333	255	300	300	150	1	100	100	100	10	10	10	10
Kalphite Queen - Airborne	Kalphite Queen Airborne	Members	333	255	300	300	150	1	100	100	100	10	10	10	10
Repugnant spectre	Repugnant spectre	Members	335	390	1	220	380	1	120	120	120	0	115	115	115
Zalcano - Weakened	Zalcano Weakened	Members	336	1000	1	1	1	1	0	0	0	0	0	0	0
Sotetseg - Entry	Sotetseg Entry	Members	336	2240	180	150	150	150	30	30	30	10	120	120	120
Zalcano - Armoured	Zalcano Armoured	Members	336	300	1	1	1	1	0	0	0	0	0	0	0
Akkha	Akkha	Members	337	400	100	80	100	100	60	120	120	10	60	60	60
Adamant dragon	Adamant dragon	Members	338	295	280	272	186	186	20	110	85	30	95	95	65
Arrav	Arrav	Members	339	600	220	150	150	0	80	80	40	160	80	80	80
Kephri - Aggressive	Kephri Aggressive	Members	341	80	0	80	125	0	60	300	100	200	300	300	300
Kephri - Shielded	Kephri Shielded	Members	341	150	0	80	125	0	60	300	100	200	300	300	300
Greater abyssal demon	Greater abyssal demon	Members	342	400	300	240	1	1	50	50	50	0	50	50	50
The Inadequacy - Normal	The Inadequacy Normal	Members	343	180	564	240	1	170	0	0	0	0	0	0	0
Justiciar Zachariah	Justiciar Zachariah	Members	348	320	500	100	180	1	200	200	200	-60	200	200	200
Marble gargoyle	Marble gargoyle	Members	349	270	230	190	1	220	50	50	0	50	50	50	50
Abyssal Sire - Phase 2	Abyssal Sire Phase 2	Members	350	400	180	250	200	1	40	60	50	20	60	60	60
Abyssal Sire - Phase 3 (stage 1)	Abyssal Sire Phase 3 (stage 1)	Members	350	400	180	250	200	1	40	60	50	20	60	60	60
Abyssal Sire - Phase 3 (stage 2)	Abyssal Sire Phase 3 (stage 2)	Members	350	400	180	250	200	1	20	30	25	-40	30	30	30
Eldric the Ice King	Eldric the Ice King	Members	350	600	300	100	100	150	12	12	0	700	700	700	700
Branda the Fire Queen	Branda the Fire Queen	Members	350	600	300	100	100	150	12	12	0	700	700	700	700
Abyssal Sire - Phase 1	Abyssal Sire Phase 1	Members	350	400	180	250	200	1	40	60	50	20	60	60	60
Thermonuclear smoke devil	Thermonuclear smoke devil	Members	301	240	230	360	1	310	11	4	9	800	900	900	900
Nylocas Vasilias - Entry	Nylocas Vasilias Entry	Members	301	1440	160	50	20	140	0	0	0	0	0	0	0
Hespori (A Night at the Theatre)	Hespori (A Night at the Theatre)	Members	302	360	1	120	126	150	60	20	60	80	80	80	80
Spindel	Spindel	Members	302	515	200	225	235	286	70	70	10	205	103	103	103
Dagannoth Supreme	Dagannoth Supreme	Members	303	255	255	128	255	255	10	10	10	255	550	550	550
Dagannoth Prime (PvM Arena)	Dagannoth Prime (PvM Arena)	Members	303	255	255	255	255	0	255	255	255	255	10	10	10
Dagannoth Supreme (PvM Arena)	Dagannoth Supreme (PvM Arena)	Members	303	255	255	128	255	255	10	10	10	255	550	550	550
Dagannoth Rex	Dagannoth Rex	Members	303	255	255	255	0	255	255	255	255	10	255	255	255
Dagannoth Prime	Dagannoth Prime	Members	303	255	255	255	255	0	255	255	255	255	10	10	10
Dagannoth Rex (PvM Arena)	Dagannoth Rex (PvM Arena)	Members	303	255	255	255	0	255	255	255	255	10	255	255	255
Mithril dragon	Mithril dragon	Members	304	254	268	268	168	168	20	100	70	30	90	90	65
Chaos Elemental	Chaos Elemental	Members	305	250	270	270	270	270	70	70	70	70	70	70	70
Chaos Elemental (PvM Arena)	Chaos Elemental (PvM Arena)	Members	305	250	270	270	270	270	70	70	70	70	70	70	70
Colossal Hydra	Colossal Hydra	Members	309	750	1	100	250	250	100	200	200	200	20	20	20
Pestilent Bloat - Entry	Pestilent Bloat Entry	Members	312	1280	100	80	120	72	10	5	10	600	800	800	800
Thermonuclear smoke devil (Deadman)	Thermonuclear smoke devil (Deadman)	Members	313	500	230	150	1	310	30	12	20	200	300	300	300
Giant Scarab - Hard	Giant Scarab Hard	Members	316	255	305	169	1	342	70	99	99	159	149	149	149
Brutal black dragon	Brutal black dragon	Members	318	315	330	258	250	0	10	70	70	60	50	50	15
Cerberus	Cerberus	Members	318	600	220	100	220	220	50	100	25	100	100	100	100
Minotaur (Fortis Colosseum) - 2	Minotaur (Fortis Colosseum) 2	Members	318	225	300	190	250	120	0	0	0	0	12	12	12
Minotaur (Fortis Colosseum) - 1	Minotaur (Fortis Colosseum) 1	Members	318	225	300	190	250	120	0	0	0	0	12	12	12
Sarachnis	Sarachnis	Members	318	400	200	150	150	300	60	40	10	150	300	300	300
Manticore	Manticore	Members	320	250	300	250	300	350	0	0	0	10	25	25	25
Artio	Artio	Members	320	450	250	150	90	120	125	110	110	0	40	40	40
Skotizo	Skotizo	Members	321	450	240	200	280	1	80	80	80	130	130	130	130
The Maiden of Sugadinti - Entry Mode	The Maiden of Sugadinti Entry Mode	Members	324	2000	140	80	140	140	0	0	0	0	0	0	0
Jungle Demon - Hard	Jungle Demon Hard	Members	327	255	340	170	340	1	0	50	0	50	0	0	0
Dusk - Second form	Dusk Second form	Members	328	450	300	150	250	250	0	0	0	0	0	0	0
Eclipse Moon - Regular	Eclipse Moon Regular	Members	329	500	258	60	100	1	0	100	100	500	500	500	500
Blue Moon	Blue Moon	Members	329	500	258	60	100	1	100	100	0	500	500	500	500
Eclipse Moon - Clone	Eclipse Moon Clone	Members	329	500	258	60	100	1	0	100	100	500	500	500	500
Blood Moon	Blood Moon	Members	329	500	258	60	100	1	100	0	100	500	500	500	500
Xarpus - Entry mode	Xarpus Entry mode	Members	331	3400	1	100	80	50	0	0	0	0	100	100	100
Kalphite Queen - Crawling	Kalphite Queen Crawling	Members	333	255	300	300	150	1	50	50	10	100	100	100	100
Kalphite Queen (PvM Arena) - Crawling	Kalphite Queen (PvM Arena) Crawling	Members	333	255	300	300	150	1	50	50	10	100	100	100	100
Kalphite Queen (PvM Arena) - Airborne	Kalphite Queen (PvM Arena) Airborne	Members	333	255	300	300	150	1	100	100	100	10	10	10	10
Kalphite Queen - Airborne	Kalphite Queen Airborne	Members	333	255	300	300	150	1	100	100	100	10	10	10	10
Repugnant spectre	Repugnant spectre	Members	335	390	1	220	380	1	120	120	120	0	115	115	115
Zalcano - Weakened	Zalcano Weakened	Members	336	1000	1	1	1	1	0	0	0	0	0	0	0
Sotetseg - Entry	Sotetseg Entry	Members	336	2240	180	150	150	150	30	30	30	10	120	120	120
Zalcano - Armoured	Zalcano Armoured	Members	336	300	1	1	1	1	0	0	0	0	0	0	0
Akkha	Akkha	Members	337	400	100	80	100	100	60	120	120	10	60	60	60
Adamant dragon	Adamant dragon	Members	338	295	280	272	186	186	20	110	85	30	95	95	65
Arrav	Arrav	Members	339	600	220	150	150	0	80	80	40	160	80	80	80
Kephri - Aggressive	Kephri Aggressive	Members	341	80	0	80	125	0	60	300	100	200	300	300	300
Kephri - Shielded	Kephri Shielded	Members	341	150	0	80	125	0	60	300	100	200	300	300	300
Greater abyssal demon	Greater abyssal demon	Members	342	400	300	240	1	1	50	50	50	0	50	50	50
The Inadequacy - Normal	The Inadequacy Normal	Members	343	180	564	240	1	170	0	0	0	0	0	0	0
Justiciar Zachariah	Justiciar Zachariah	Members	348	320	500	100	180	1	200	200	200	-60	200	200	200
Marble gargoyle	Marble gargoyle	Members	349	270	230	190	1	220	50	50	0	50	50	50	50
Abyssal Sire - Phase 2	Abyssal Sire Phase 2	Members	350	400	180	250	200	1	40	60	50	20	60	60	60
Abyssal Sire - Phase 3 (stage 1)	Abyssal Sire Phase 3 (stage 1)	Members	350	400	180	250	200	1	40	60	50	20	60	60	60
Abyssal Sire - Phase 3 (stage 2)	Abyssal Sire Phase 3 (stage 2)	Members	350	400	180	250	200	1	20	30	25	-40	30	30	30
